All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Active Power in MW","Active Power in MW","Active Power in MW"
0.0000,16.0264,16.0264,16.0264
0.0100,16.0265,16.0265,16.0265
0.0200,16.0264,16.0264,16.0264
0.0300,16.0264,16.0264,16.0264
0.0400,16.0264,16.0264,16.0264
0.0500,16.0264,16.0264,16.0264
0.0600,16.0264,16.0264,16.0264
0.0700,16.0264,16.0264,16.0264
0.0800,16.0264,16.0264,16.0264
0.0900,16.0264,16.0264,16.0264
0.1000,16.0264,16.0264,16.0264
0.1100,16.0264,16.0264,16.0264
0.1200,16.0264,16.0264,16.0264
0.1300,16.0264,16.0264,16.0264
0.1400,16.0264,16.0264,16.0264
0.1500,16.0264,16.0264,16.0264
0.1600,16.0264,16.0264,16.0264
0.1700,16.0264,16.0264,16.0264
0.1800,16.0264,16.0264,16.0264
0.1900,16.0264,16.0264,16.0264
0.2000,16.0264,16.0264,16.0264
0.2100,16.0264,16.0264,16.0264
0.2200,16.0264,16.0264,16.0264
0.2300,16.0264,16.0264,16.0264
0.2400,16.0264,16.0264,16.0264
0.2500,16.0264,16.0264,16.0264
0.2600,16.0264,16.0264,16.0264
0.2700,16.0264,16.0264,16.0264
0.2800,16.0264,16.0264,16.0264
0.2900,16.0264,16.0264,16.0264
0.3000,16.0264,16.0264,16.0264
0.3100,16.0264,16.0264,16.0264
0.3200,16.0264,16.0264,16.0264
0.3300,16.0265,16.0265,16.0265
0.3400,16.0265,16.0265,16.0265
0.3500,16.0264,16.0264,16.0264
0.3600,16.0264,16.0264,16.0264
0.3700,16.0265,16.0265,16.0265
0.3800,16.0264,16.0264,16.0264
0.3900,16.0264,16.0264,16.0264
0.4000,16.0265,16.0265,16.0265
0.4100,16.0264,16.0264,16.0264
0.4200,16.0264,16.0264,16.0264
0.4300,16.0265,16.0265,16.0265
0.4400,16.0264,16.0264,16.0264
0.4500,16.0264,16.0264,16.0264
0.4600,16.0264,16.0264,16.0264
0.4700,16.0264,16.0264,16.0264
0.4800,16.0264,16.0264,16.0264
0.4900,16.0264,16.0264,16.0264
0.5000,16.0264,16.0264,16.0264
0.5100,16.0264,16.0264,16.0264
0.5200,16.0264,16.0264,16.0264
0.5300,16.0264,16.0264,16.0264
0.5400,16.0264,16.0264,16.0264
0.5500,16.0264,16.0264,16.0264
0.5600,16.0264,16.0264,16.0264
0.5700,16.0264,16.0264,16.0264
0.5800,16.0264,16.0264,16.0264
0.5900,16.0264,16.0264,16.0264
0.6000,16.0264,16.0264,16.0264
0.6100,16.0264,16.0264,16.0264
0.6200,16.0264,16.0264,16.0264
0.6300,16.0264,16.0264,16.0264
0.6400,16.0264,16.0264,16.0264
0.6500,16.0264,16.0264,16.0264
0.6600,16.0265,16.0265,16.0265
0.6700,16.0264,16.0264,16.0264
0.6800,16.0264,16.0264,16.0264
0.6900,16.0265,16.0265,16.0265
0.7000,16.0264,16.0264,16.0264
0.7100,16.0264,16.0264,16.0264
0.7200,16.0264,16.0264,16.0264
0.7300,16.0264,16.0264,16.0264
0.7400,16.0264,16.0264,16.0264
0.7500,16.0265,16.0265,16.0265
0.7600,16.0264,16.0264,16.0264
0.7700,16.0265,16.0265,16.0265
0.7800,16.0264,16.0264,16.0264
0.7900,16.0265,16.0265,16.0265
0.8000,16.0264,16.0264,16.0264
0.8100,16.0264,16.0264,16.0264
0.8200,16.0264,16.0264,16.0264
0.8300,16.0265,16.0265,16.0265
0.8400,16.0264,16.0264,16.0264
0.8500,16.0265,16.0265,16.0265
0.8600,16.0264,16.0264,16.0264
0.8700,16.0264,16.0264,16.0264
0.8800,16.0264,16.0264,16.0264
0.8900,16.0264,16.0264,16.0264
0.9000,16.0264,16.0264,16.0264
0.9100,16.0264,16.0264,16.0264
0.9200,16.0264,16.0264,16.0264
0.9300,16.0264,16.0264,16.0264
0.9400,16.0264,16.0264,16.0264
0.9500,16.0264,16.0264,16.0264
0.9600,16.0264,16.0264,16.0264
0.9700,16.0264,16.0264,16.0264
0.9800,16.0265,16.0265,16.0265
0.9900,16.0264,16.0264,16.0264
1.0000,16.0264,16.0264,16.0264
1.0055,15.6606,15.6606,15.6606
1.0126,15.6014,15.6014,15.6014
1.0226,15.5689,15.5689,15.5689
1.0326,15.5473,15.5473,15.5473
1.0426,15.5333,15.5333,15.5333
1.0526,15.5214,15.5214,15.5214
1.0626,15.5124,15.5124,15.5124
1.0726,15.5118,15.5118,15.5118
1.0826,15.5014,15.5014,15.5014
1.0926,15.4961,15.4961,15.4961
1.1026,15.4947,15.4947,15.4947
1.1126,15.4964,15.4964,15.4964
1.1226,15.4990,15.4990,15.4990
1.1326,15.5028,15.5028,15.5028
1.1426,15.5068,15.5068,15.5068
1.1526,15.5109,15.5109,15.5109
1.1626,15.5148,15.5148,15.5148
1.1726,15.5182,15.5182,15.5182
1.1826,15.5211,15.5211,15.5211
1.1926,15.5236,15.5236,15.5236
1.2026,15.5257,15.5257,15.5257
1.2126,15.5276,15.5276,15.5276
1.2226,15.5294,15.5294,15.5294
1.2326,15.5312,15.5312,15.5312
1.2426,15.5331,15.5331,15.5331
1.2526,15.5351,15.5351,15.5351
1.2626,15.5372,15.5372,15.5372
1.2726,15.5394,15.5394,15.5394
1.2826,15.5416,15.5416,15.5416
1.2926,15.5436,15.5436,15.5436
1.3026,15.5454,15.5454,15.5454
1.3126,15.5470,15.5470,15.5470
1.3226,15.5482,15.5482,15.5482
1.3326,15.5491,15.5491,15.5491
1.3426,15.5497,15.5497,15.5497
1.3526,15.5500,15.5500,15.5500
1.3626,15.5501,15.5501,15.5501
1.3726,15.5500,15.5500,15.5500
1.3826,15.5498,15.5498,15.5498
1.3926,15.5496,15.5496,15.5496
1.4026,15.5493,15.5493,15.5493
1.4126,15.5489,15.5489,15.5489
1.4226,15.5486,15.5486,15.5486
1.4326,15.5482,15.5482,15.5482
1.4426,15.5479,15.5479,15.5479
1.4526,15.5475,15.5475,15.5475
1.4626,15.5470,15.5470,15.5470
1.4726,15.5465,15.5465,15.5465
1.4826,15.5460,15.5460,15.5460
1.4926,15.5454,15.5454,15.5454
1.5026,15.5448,15.5448,15.5448
1.5126,15.5442,15.5442,15.5442
1.5226,15.5436,15.5436,15.5436
1.5326,15.5429,15.5429,15.5429
1.5426,15.5422,15.5422,15.5422
1.5526,15.5416,15.5416,15.5416
1.5626,15.5409,15.5409,15.5409
1.5726,15.5402,15.5402,15.5402
1.5826,15.5396,15.5396,15.5396
1.5926,15.5390,15.5390,15.5390
1.6026,15.5384,15.5384,15.5384
1.6126,15.5379,15.5379,15.5379
1.6226,15.5373,15.5373,15.5373
1.6326,15.5368,15.5368,15.5368
1.6426,15.5364,15.5364,15.5364
1.6526,15.5360,15.5360,15.5360
1.6626,15.5355,15.5355,15.5355
1.6726,15.5351,15.5351,15.5351
1.6826,15.5347,15.5347,15.5347
1.6926,15.5343,15.5343,15.5343
1.7026,15.5339,15.5339,15.5339
1.7126,15.5335,15.5335,15.5335
1.7226,15.5332,15.5332,15.5332
1.7326,15.5328,15.5328,15.5328
1.7426,15.5325,15.5325,15.5325
1.7526,15.5322,15.5322,15.5322
1.7626,15.5319,15.5319,15.5319
1.7726,15.5317,15.5317,15.5317
1.7826,15.5314,15.5314,15.5314
1.7926,15.5313,15.5313,15.5313
1.8026,15.5311,15.5311,15.5311
