All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Reactive Power in Mvar","Reactive Power in Mvar","Reactive Power in Mvar"
0.0000,0.5702,0.5702,0.5702
0.0100,0.5702,0.5702,0.5702
0.0200,0.5701,0.5701,0.5701
0.0300,0.5701,0.5701,0.5701
0.0400,0.5701,0.5701,0.5701
0.0500,0.5701,0.5701,0.5701
0.0600,0.5701,0.5701,0.5701
0.0700,0.5701,0.5701,0.5701
0.0800,0.5701,0.5701,0.5701
0.0900,0.5701,0.5701,0.5701
0.1000,0.5701,0.5701,0.5701
0.1100,0.5701,0.5701,0.5701
0.1200,0.5701,0.5701,0.5701
0.1300,0.5701,0.5701,0.5701
0.1400,0.5701,0.5701,0.5701
0.1500,0.5701,0.5701,0.5701
0.1600,0.5701,0.5701,0.5701
0.1700,0.5701,0.5701,0.5701
0.1800,0.5701,0.5701,0.5701
0.1900,0.5701,0.5701,0.5701
0.2000,0.5701,0.5701,0.5701
0.2100,0.5701,0.5701,0.5701
0.2200,0.5701,0.5701,0.5701
0.2300,0.5701,0.5701,0.5701
0.2400,0.5701,0.5701,0.5701
0.2500,0.5701,0.5701,0.5701
0.2600,0.5701,0.5701,0.5701
0.2700,0.5701,0.5701,0.5701
0.2800,0.5701,0.5701,0.5701
0.2900,0.5701,0.5701,0.5701
0.3000,0.5701,0.5701,0.5701
0.3100,0.5701,0.5701,0.5701
0.3200,0.5701,0.5701,0.5701
0.3300,0.5701,0.5701,0.5701
0.3400,0.5701,0.5701,0.5701
0.3500,0.5701,0.5701,0.5701
0.3600,0.5701,0.5701,0.5701
0.3700,0.5701,0.5701,0.5701
0.3800,0.5701,0.5701,0.5701
0.3900,0.5701,0.5701,0.5701
0.4000,0.5701,0.5701,0.5701
0.4100,0.5701,0.5701,0.5701
0.4200,0.5701,0.5701,0.5701
0.4300,0.5701,0.5701,0.5701
0.4400,0.5701,0.5701,0.5701
0.4500,0.5701,0.5701,0.5701
0.4600,0.5701,0.5701,0.5701
0.4700,0.5701,0.5701,0.5701
0.4800,0.5701,0.5701,0.5701
0.4900,0.5701,0.5701,0.5701
0.5000,0.5701,0.5701,0.5701
0.5100,0.5701,0.5701,0.5701
0.5200,0.5701,0.5701,0.5701
0.5300,0.5701,0.5701,0.5701
0.5400,0.5701,0.5701,0.5701
0.5500,0.5701,0.5701,0.5701
0.5600,0.5701,0.5701,0.5701
0.5700,0.5701,0.5701,0.5701
0.5800,0.5701,0.5701,0.5701
0.5900,0.5701,0.5701,0.5701
0.6000,0.5701,0.5701,0.5701
0.6100,0.5702,0.5702,0.5702
0.6200,0.5701,0.5701,0.5701
0.6300,0.5701,0.5701,0.5701
0.6400,0.5701,0.5701,0.5701
0.6500,0.5701,0.5701,0.5701
0.6600,0.5701,0.5701,0.5701
0.6700,0.5701,0.5701,0.5701
0.6800,0.5701,0.5701,0.5701
0.6900,0.5701,0.5701,0.5701
0.7000,0.5701,0.5701,0.5701
0.7100,0.5701,0.5701,0.5701
0.7200,0.5701,0.5701,0.5701
0.7300,0.5701,0.5701,0.5701
0.7400,0.5701,0.5701,0.5701
0.7500,0.5701,0.5701,0.5701
0.7600,0.5701,0.5701,0.5701
0.7700,0.5701,0.5701,0.5701
0.7800,0.5701,0.5701,0.5701
0.7900,0.5701,0.5701,0.5701
0.8000,0.5701,0.5701,0.5701
0.8100,0.5701,0.5701,0.5701
0.8200,0.5701,0.5701,0.5701
0.8300,0.5701,0.5701,0.5701
0.8400,0.5701,0.5701,0.5701
0.8500,0.5701,0.5701,0.5701
0.8600,0.5701,0.5701,0.5701
0.8700,0.5701,0.5701,0.5701
0.8800,0.5701,0.5701,0.5701
0.8900,0.5701,0.5701,0.5701
0.9000,0.5701,0.5701,0.5701
0.9100,0.5701,0.5701,0.5701
0.9200,0.5701,0.5701,0.5701
0.9300,0.5701,0.5701,0.5701
0.9400,0.5701,0.5701,0.5701
0.9500,0.5701,0.5701,0.5701
0.9600,0.5701,0.5701,0.5701
0.9700,0.5701,0.5701,0.5701
0.9800,0.5701,0.5701,0.5701
0.9900,0.5701,0.5701,0.5701
1.0000,0.5701,0.5701,0.5701
1.0055,0.1447,0.1447,0.1447
1.0126,0.2140,0.2140,0.2140
1.0226,0.3027,0.3027,0.3027
1.0326,0.3223,0.3223,0.3223
1.0426,0.3418,0.3418,0.3418
1.0526,0.3475,0.3475,0.3475
1.0626,0.3546,0.3546,0.3546
1.0726,0.3358,0.3358,0.3358
1.0826,0.3513,0.3513,0.3513
1.0926,0.3640,0.3640,0.3640
1.1026,0.3657,0.3657,0.3657
1.1126,0.3658,0.3658,0.3658
1.1226,0.3644,0.3644,0.3644
1.1326,0.3626,0.3626,0.3626
1.1426,0.3598,0.3598,0.3598
1.1526,0.3570,0.3570,0.3570
1.1626,0.3541,0.3541,0.3541
1.1726,0.3514,0.3514,0.3514
1.1826,0.3489,0.3489,0.3489
1.1926,0.3465,0.3465,0.3465
1.2026,0.3441,0.3441,0.3441
1.2126,0.3418,0.3418,0.3418
1.2226,0.3392,0.3392,0.3392
1.2326,0.3365,0.3365,0.3365
1.2426,0.3336,0.3336,0.3336
1.2526,0.3306,0.3306,0.3306
1.2626,0.3276,0.3276,0.3276
1.2726,0.3248,0.3248,0.3248
1.2826,0.3222,0.3222,0.3222
1.2926,0.3199,0.3199,0.3199
1.3026,0.3180,0.3180,0.3180
1.3126,0.3165,0.3165,0.3165
1.3226,0.3151,0.3151,0.3151
1.3326,0.3140,0.3140,0.3140
1.3426,0.3129,0.3129,0.3129
1.3526,0.3117,0.3117,0.3117
1.3626,0.3105,0.3105,0.3105
1.3726,0.3092,0.3092,0.3092
1.3826,0.3079,0.3079,0.3079
1.3926,0.3067,0.3067,0.3067
1.4026,0.3055,0.3055,0.3055
1.4126,0.3046,0.3046,0.3046
1.4226,0.3040,0.3040,0.3040
1.4326,0.3037,0.3037,0.3037
1.4426,0.3036,0.3036,0.3036
1.4526,0.3037,0.3037,0.3037
1.4626,0.3039,0.3039,0.3039
1.4726,0.3041,0.3041,0.3041
