All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Active Power in MW","Active Power in MW","Active Power in MW"
0.0000,16.0264,16.0264,16.0264
0.0100,16.0264,16.0264,16.0264
0.0200,16.0264,16.0264,16.0264
0.0300,16.0264,16.0264,16.0264
0.0400,16.0264,16.0264,16.0264
0.0500,16.0264,16.0264,16.0264
0.0600,16.0264,16.0264,16.0264
0.0700,16.0264,16.0264,16.0264
0.0800,16.0264,16.0264,16.0264
0.0900,16.0264,16.0264,16.0264
0.1000,16.0264,16.0264,16.0264
0.1100,16.0264,16.0264,16.0264
0.1200,16.0264,16.0264,16.0264
0.1300,16.0264,16.0264,16.0264
0.1400,16.0264,16.0264,16.0264
0.1500,16.0264,16.0264,16.0264
0.1600,16.0264,16.0264,16.0264
0.1700,16.0264,16.0264,16.0264
0.1800,16.0264,16.0264,16.0264
0.1900,16.0264,16.0264,16.0264
0.2000,16.0264,16.0264,16.0264
0.2100,16.0264,16.0264,16.0264
0.2200,16.0264,16.0264,16.0264
0.2300,16.0264,16.0264,16.0264
0.2400,16.0264,16.0264,16.0264
0.2500,16.0264,16.0264,16.0264
0.2600,16.0264,16.0264,16.0264
0.2700,16.0264,16.0264,16.0264
0.2800,16.0264,16.0264,16.0264
0.2900,16.0264,16.0264,16.0264
0.3000,16.0264,16.0264,16.0264
0.3100,16.0264,16.0264,16.0264
0.3200,16.0264,16.0264,16.0264
0.3300,16.0264,16.0264,16.0264
0.3400,16.0264,16.0264,16.0264
0.3500,16.0264,16.0264,16.0264
0.3600,16.0264,16.0264,16.0264
0.3700,16.0264,16.0264,16.0264
0.3800,16.0264,16.0264,16.0264
0.3900,16.0264,16.0264,16.0264
0.4000,16.0264,16.0264,16.0264
0.4100,16.0264,16.0264,16.0264
0.4200,16.0264,16.0264,16.0264
0.4300,16.0264,16.0264,16.0264
0.4400,16.0264,16.0264,16.0264
0.4500,16.0264,16.0264,16.0264
0.4600,16.0264,16.0264,16.0264
0.4700,16.0264,16.0264,16.0264
0.4800,16.0264,16.0264,16.0264
0.4900,16.0264,16.0264,16.0264
0.5000,16.0264,16.0264,16.0264
0.5100,16.0264,16.0264,16.0264
0.5200,16.0264,16.0264,16.0264
0.5300,16.0264,16.0264,16.0264
0.5400,16.0264,16.0264,16.0264
0.5500,16.0264,16.0264,16.0264
0.5600,16.0264,16.0264,16.0264
0.5700,16.0264,16.0264,16.0264
0.5800,16.0264,16.0264,16.0264
0.5900,16.0264,16.0264,16.0264
0.6000,16.0264,16.0264,16.0264
0.6100,16.0264,16.0264,16.0264
0.6200,16.0264,16.0264,16.0264
0.6300,16.0264,16.0264,16.0264
0.6400,16.0264,16.0264,16.0264
0.6500,16.0264,16.0264,16.0264
0.6600,16.0264,16.0264,16.0264
0.6700,16.0264,16.0264,16.0264
0.6800,16.0264,16.0264,16.0264
0.6900,16.0264,16.0264,16.0264
0.7000,16.0264,16.0264,16.0264
0.7100,16.0264,16.0264,16.0264
0.7200,16.0264,16.0264,16.0264
0.7300,16.0264,16.0264,16.0264
0.7400,16.0264,16.0264,16.0264
0.7500,16.0264,16.0264,16.0264
0.7600,16.0264,16.0264,16.0264
0.7700,16.0264,16.0264,16.0264
0.7800,16.0264,16.0264,16.0264
0.7900,16.0264,16.0264,16.0264
0.8000,16.0264,16.0264,16.0264
0.8100,16.0264,16.0264,16.0264
0.8200,16.0264,16.0264,16.0264
0.8300,16.0264,16.0264,16.0264
0.8400,16.0264,16.0264,16.0264
0.8500,16.0264,16.0264,16.0264
0.8600,16.0264,16.0264,16.0264
0.8700,16.0264,16.0264,16.0264
0.8800,16.0264,16.0264,16.0264
0.8900,16.0264,16.0264,16.0264
0.9000,16.0264,16.0264,16.0264
0.9100,16.0264,16.0264,16.0264
0.9200,16.0264,16.0264,16.0264
0.9300,16.0264,16.0264,16.0264
0.9400,16.0264,16.0264,16.0264
0.9500,16.0264,16.0264,16.0264
0.9600,16.0264,16.0264,16.0264
0.9700,16.0264,16.0264,16.0264
0.9800,16.0264,16.0264,16.0264
0.9900,16.0264,16.0264,16.0264
1.0000,16.0264,16.0264,16.0264
1.0055,26.4686,26.4686,26.2636
1.0126,23.6542,23.6542,23.4885
1.0226,23.7067,23.7067,23.5523
1.0326,22.4645,22.4645,22.3243
1.0426,21.4780,21.4780,21.3455
1.0526,20.3353,20.3353,20.2103
1.0626,19.4585,19.4585,19.3381
1.0726,18.6593,18.6593,18.5431
1.0826,18.0330,18.0330,17.9197
1.0926,17.6978,17.6978,17.5857
1.1000,17.5569,17.5569,17.4457
1.1055,25.2302,25.2302,25.3595
1.1126,21.5892,21.5892,21.6810
1.1226,18.4527,18.4527,18.5056
1.1326,17.4963,17.4963,17.5358
1.1426,17.2260,17.2260,17.2635
1.1526,17.1186,17.1186,17.1593
1.1626,17.0359,17.0359,17.0820
1.1726,16.8775,16.8775,16.9298
1.1826,16.6744,16.6744,16.7328
1.1926,16.4707,16.4707,16.5350
1.2026,16.2853,16.2853,16.3550
1.2126,16.1320,16.1320,16.2065
1.2226,16.0213,16.0213,16.1001
1.2326,15.9658,15.9658,16.0483
1.2426,15.9723,15.9723,16.0580
1.2526,16.0415,16.0415,16.1298
1.2626,16.1693,16.1693,16.2598
1.2726,16.3439,16.3439,16.4359
1.2826,16.5749,16.5749,16.6679
1.2926,16.8161,16.8161,16.9095
1.3026,17.0680,17.0680,17.1612
1.3126,17.3069,17.3069,17.3992
1.3226,17.5223,17.5223,17.6130
1.3326,17.7008,17.7008,17.7889
1.3426,17.8336,17.8336,17.9185
1.3526,17.9168,17.9168,17.9976
1.3626,17.9496,17.9496,18.0254
1.3726,17.9356,17.9356,18.0056
1.3826,17.8836,17.8836,17.9470
1.3926,17.8052,17.8052,17.8613
1.4026,17.7136,17.7136,17.7618
1.4126,17.6220,17.6220,17.6618
1.4226,17.5419,17.5419,17.5729
1.4326,17.4821,17.4821,17.5041
1.4426,17.4478,17.4478,17.4606
1.4526,17.4403,17.4403,17.4439
1.4626,17.4573,17.4573,17.4517
1.4726,17.4935,17.4935,17.4790
1.4826,17.5416,17.5416,17.5184
1.4926,17.5937,17.5937,17.5622
1.5026,17.6421,17.6421,17.6026
1.5126,17.6803,17.6803,17.6332
1.5226,17.7038,17.7038,17.6497
1.5326,17.7103,17.7103,17.6498
1.5426,17.6998,17.6998,17.6335
1.5526,17.6743,17.6743,17.6029
1.5626,17.6370,17.6370,17.5612
1.5726,17.5908,17.5908,17.5114
1.5826,17.5382,17.5382,17.4559
1.5926,17.4844,17.4844,17.4002
1.6026,17.4337,17.4337,17.3481
1.6126,17.3900,17.3900,17.3040
1.6226,17.3547,17.3547,17.2691
1.6326,17.3257,17.3257,17.2411
1.6426,17.3028,17.3028,17.2201
1.6526,17.2841,17.2841,17.2039
1.6626,17.2658,17.2658,17.1888
1.6726,17.2475,17.2475,17.1742
1.6826,17.2270,17.2270,17.1580
1.6926,17.2027,17.2027,17.1385
1.7026,17.1737,17.1737,17.1149
1.7126,17.1402,17.1402,17.0871
1.7226,17.1028,17.1028,17.0557
1.7326,17.0627,17.0627,17.0219
1.7426,17.0214,17.0214,16.9871
1.7526,16.9803,16.9803,16.9527
1.7626,16.9410,16.9410,16.9202
1.7726,16.9045,16.9045,16.8904
1.7826,16.8714,16.8714,16.8640
1.7926,16.8420,16.8420,16.8412
