All calculations,Synchronous Generator 1,Synchronous Generator 2,Synchronous Generator 3
"Time in s","Reactive Power in Mvar","Reactive Power in Mvar","Reactive Power in Mvar"
0.0000,0.5702,0.5702,0.5702
0.0100,0.5701,0.5701,0.5701
0.0200,0.5701,0.5701,0.5701
0.0300,0.5701,0.5701,0.5701
0.0400,0.5701,0.5701,0.5701
0.0500,0.5701,0.5701,0.5701
0.0600,0.5701,0.5701,0.5701
0.0700,0.5701,0.5701,0.5701
0.0800,0.5701,0.5701,0.5701
0.0900,0.5701,0.5701,0.5701
0.1000,0.5701,0.5701,0.5701
0.1100,0.5701,0.5701,0.5701
0.1200,0.5701,0.5701,0.5701
0.1300,0.5701,0.5701,0.5701
0.1400,0.5701,0.5701,0.5701
0.1500,0.5701,0.5701,0.5701
0.1600,0.5701,0.5701,0.5701
0.1700,0.5701,0.5701,0.5701
0.1800,0.5701,0.5701,0.5701
0.1900,0.5701,0.5701,0.5701
0.2000,0.5701,0.5701,0.5701
0.2100,0.5701,0.5701,0.5701
0.2200,0.5701,0.5701,0.5701
0.2300,0.5701,0.5701,0.5701
0.2400,0.5701,0.5701,0.5701
0.2500,0.5701,0.5701,0.5701
0.2600,0.5701,0.5701,0.5701
0.2700,0.5701,0.5701,0.5701
0.2800,0.5701,0.5701,0.5701
0.2900,0.5701,0.5701,0.5701
0.3000,0.5701,0.5701,0.5701
0.3100,0.5701,0.5701,0.5701
0.3200,0.5701,0.5701,0.5701
0.3300,0.5701,0.5701,0.5701
0.3400,0.5701,0.5701,0.5701
0.3500,0.5701,0.5701,0.5701
0.3600,0.5701,0.5701,0.5701
0.3700,0.5701,0.5701,0.5701
0.3800,0.5701,0.5701,0.5701
0.3900,0.5701,0.5701,0.5701
0.4000,0.5701,0.5701,0.5701
0.4100,0.5701,0.5701,0.5701
0.4200,0.5701,0.5701,0.5701
0.4300,0.5701,0.5701,0.5701
0.4400,0.5701,0.5701,0.5701
0.4500,0.5701,0.5701,0.5701
0.4600,0.5701,0.5701,0.5701
0.4700,0.5701,0.5701,0.5701
0.4800,0.5701,0.5701,0.5701
0.4900,0.5701,0.5701,0.5701
0.5000,0.5701,0.5701,0.5701
0.5100,0.5701,0.5701,0.5701
0.5200,0.5701,0.5701,0.5701
0.5300,0.5701,0.5701,0.5701
0.5400,0.5701,0.5701,0.5701
0.5500,0.5701,0.5701,0.5701
0.5600,0.5701,0.5701,0.5701
0.5700,0.5701,0.5701,0.5701
0.5800,0.5701,0.5701,0.5701
0.5900,0.5701,0.5701,0.5701
0.6000,0.5701,0.5701,0.5701
0.6100,0.5701,0.5701,0.5701
0.6200,0.5701,0.5701,0.5701
0.6300,0.5701,0.5701,0.5701
0.6400,0.5701,0.5701,0.5701
0.6500,0.5701,0.5701,0.5701
0.6600,0.5701,0.5701,0.5701
0.6700,0.5701,0.5701,0.5701
0.6800,0.5701,0.5701,0.5701
0.6900,0.5701,0.5701,0.5701
0.7000,0.5701,0.5701,0.5701
0.7100,0.5701,0.5701,0.5701
0.7200,0.5701,0.5701,0.5701
0.7300,0.5701,0.5701,0.5701
0.7400,0.5701,0.5701,0.5701
0.7500,0.5701,0.5701,0.5701
0.7600,0.5701,0.5701,0.5701
0.7700,0.5701,0.5701,0.5701
0.7800,0.5701,0.5701,0.5701
0.7900,0.5701,0.5701,0.5701
0.8000,0.5701,0.5701,0.5701
0.8100,0.5701,0.5701,0.5701
0.8200,0.5701,0.5701,0.5701
0.8300,0.5701,0.5701,0.5701
0.8400,0.5701,0.5701,0.5701
0.8500,0.5701,0.5701,0.5701
0.8600,0.5701,0.5701,0.5701
0.8700,0.5701,0.5701,0.5701
0.8800,0.5701,0.5701,0.5701
0.8900,0.5701,0.5701,0.5701
0.9000,0.5701,0.5701,0.5701
0.9100,0.5701,0.5701,0.5701
0.9200,0.5701,0.5701,0.5701
0.9300,0.5701,0.5701,0.5701
0.9400,0.5701,0.5701,0.5701
0.9500,0.5701,0.5701,0.5701
0.9600,0.5701,0.5701,0.5701
0.9700,0.5701,0.5701,0.5701
0.9800,0.5701,0.5701,0.5701
0.9900,0.5701,0.5701,0.5701
1.0000,0.5701,0.5701,0.5701
1.0055,31.2639,31.2639,31.1025
1.0126,25.3807,25.3807,25.2076
1.0226,20.5865,20.5865,20.4327
1.0326,18.3360,18.3360,18.1883
1.0426,17.0732,17.0732,16.9320
1.0526,16.2932,16.2932,16.1553
1.0626,15.6862,15.6862,15.5515
1.0726,15.1789,15.1789,15.0463
1.0826,14.7016,14.7016,14.5708
1.0926,14.2758,14.2758,14.1472
1.1000,14.0330,14.0330,13.9058
1.1055,0.2418,0.2418,0.1004
1.1126,-0.9892,-0.9892,-1.0910
1.1226,3.0609,3.0609,3.0040
1.1326,4.5597,4.5597,4.5265
1.1426,4.9008,4.9008,4.8813
1.1526,4.6181,4.6181,4.6076
1.1626,4.3150,4.3150,4.3114
1.1726,4.1378,4.1378,4.1399
1.1826,4.1074,4.1074,4.1143
1.1926,3.9741,3.9741,3.9854
1.2026,3.8020,3.8020,3.8173
1.2126,3.5778,3.5778,3.5969
1.2226,3.3382,3.3382,3.3606
1.2326,3.1021,3.1021,3.1275
1.2426,2.8823,2.8823,2.9105
1.2526,2.6899,2.6899,2.7204
1.2626,2.5253,2.5253,2.5577
1.2726,2.3960,2.3960,2.4299
1.2826,2.2561,2.2561,2.2911
1.2926,2.1435,2.1435,2.1792
1.3026,2.0375,2.0375,2.0735
1.3126,1.9259,1.9259,1.9618
1.3226,1.8126,1.8126,1.8481
1.3326,1.6867,1.6867,1.7214
1.3426,1.5622,1.5622,1.5957
1.3526,1.4394,1.4394,1.4714
1.3626,1.3253,1.3253,1.3554
1.3726,1.2246,1.2246,1.2524
1.3826,1.1407,1.1407,1.1658
1.3926,1.0753,1.0753,1.0972
1.4026,1.0283,1.0283,1.0466
1.4126,0.9976,0.9976,1.0121
1.4226,0.9800,0.9800,0.9902
1.4326,0.9713,0.9713,0.9769
1.4426,0.9674,0.9674,0.9682
1.4526,0.9647,0.9647,0.9606
1.4626,0.9606,0.9606,0.9516
